Date,Activity Type,Upvotes,Content
2023-10-22 04:58:04,Comment,"On [Orbiter.finance](https://Orbiter.finance), I did L2 bridge for 0.005 ETH to Arbitrum, but it's still saying I don't have enough ETH to claim the MOOND. 

Any ideas what I did wrong?

[https://etherscan.io/tx/0xd8a4bb387a1989ec13f0e6ae953535d5f7f68ee795c5c3566276afeca620895a](https://etherscan.io/tx/0xd8a4bb387a1989ec13f0e6ae953535d5f7f68ee795c5c3566276afeca620895a)",1
2023-10-21 16:49:04,Comment,How may I move the ETH to claim the MoonsDust?,1
2023-10-21 16:27:58,Comment,"0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb

I looked at my wallet and etherscan shows

>ETH BALANCE0.029082020069645987 ETH  
>  
>ETH VALUE$47.39 (@ $1,629.65/ETH)

But my MetaMask shows 0.00 ETH and $0.00. Interesting.",1
2023-10-21 15:49:17,Comment,"Welp, I had 0 ETH for the transaction. My account my drained FML, time to do some investigation. Not saying this is from MoonsDust, just sucks I found out my wallet was drained just now :\[",1
2023-10-21 14:04:45,Comment,FIAT coin enters the chat,2
2023-10-21 14:04:17,Comment,Make sure the maxi has wings. Helps to pool the bleeding better!,2
2023-10-21 14:03:18,Comment,Some prefer to be dominated instead 😂,1
2023-10-21 14:00:28,Comment,"Do you have an exit plan? Choose how much you will sell at what price, then you execute your plan.",1
2023-10-21 13:52:25,Comment,"""Trust me... I'll F you in the arse real gud""",1
2023-10-21 13:51:18,Comment,Wow never knew how cold Siberia was,1
2023-10-21 13:48:58,Comment,Yes! I hope it'll be much much higher than 2K LFG,1
2023-10-21 13:48:01,Comment,Sold and decided to cowardly run away. Let's move on!,1
2023-10-21 13:46:11,Comment,It's a nice memory every you see it in your wallet,1
2023-10-21 13:45:37,Comment,"MATIC is a technology platform that enables blockchain networks to connect and scale.

MATIC is used to govern and secure the Polygon network and to pay network transaction fees.

MATIC had fast transaction speed and low transaction fees. You can swap to other tokens or coins and can be used as currency also. Many marketplaces accept MATIC, including OpenSea.

The #1 use case for MATIC is to buy more Ethereum. Goodnight!",2
2023-10-21 13:40:09,Comment,"Thanks I know he sold moons, didn't know he sold donuts",3
2023-10-21 13:39:05,Comment,"I impulse buy, it's usually a bad decision unless it's for ETH 😀",2
2023-10-21 13:38:10,Comment,More SEC shenanigans 😜,1
2023-10-21 13:34:26,Comment,I'm glad they deleted the account. Saves us from wasting our time holding up pitchforks imo. Now we can move on to more important things 😊,1
2023-10-20 22:59:05,Comment,"Unfortunately, there is risk involved in investments and you should only invest what you are okay with losing 100% imo. If you can afford to lose 100%, it shouldn’t be invested.",0
2023-10-18 14:46:23,Comment,WTF where have I need all this time looool. I’ve only been doing LP,1
2023-10-18 14:44:55,Comment,Is it possible to have staking for Donuts?,1
2023-10-17 15:48:37,Comment,"Is anyone using MULTIPLE L2s for good reason? I'm extremely happy with the one I'm using right now, not sure if I have a good reason to explore other L2s atm or not.",1
2023-10-16 16:48:46,Comment,Ooooh I like this one. ETH army,1
2023-10-16 16:05:56,Comment,Good morning. Is there a word to refer to Ethereum holders? Like maybe Bitcoiners are people who hold Bitcoin? Is ETHheads a thing? lol,2
2023-10-15 17:57:00,Comment,L1 or L2?,3
2023-10-14 17:23:13,Comment,"Ooooh it's BACK now. Not sure why they took it out and then brought it back in.

I'll update as soon as I hear any official statements!",1
2023-10-11 19:15:24,Comment,Need to go to the FINAL SALE section!,1
2023-10-10 16:16:57,Comment,"Exactly. You can hold and hope the impermanent loss goes back to 0, but no one can tell the future.

Another option is to provide more into the new LP rate and average out with your initial or older LP rates, then you have a new impermanent loss rate.",2
2023-10-09 19:02:02,Comment,I shilled DOGE at $0.60. Now it’s at $0.06 lol,6
